OPCODE,FORMAT,OPCODEVAL,P,X,F,C
ADD,3/4,18,,,,
ADDF,3/4,58,,1,1,
ADDR,2,90,,1,,
AND,3/4,40,,,,
CLEAR,2,B4,,1,,
COMP,3/4,28,,,,1
COMPF,3/4,88,,1,1,1
COMPR,2,A0,,1,,1
DIV,3/4,24,,,,
DIVF,3/4,64,,1,1,
DIVR,2,9C,,1,,
FIX,1,C4,,1,1,
FLOAT,1,C0,,1,1,
HIO,1,F4,1,1,,
J,3/4,3C,,,,
JEQ,3/4,30,,,,
JGT,3/4,34,,,,
JLT,3/4,38,,,,
JSUB,3/4,48,,,,
LDA,3/4,00,,,,
LDB,3/4,68,,1,,
LDCH,3/4,50,,,,
LDF,3/4,70,,1,1,
LDL,3/4,08,,,,
LDS,3/4,6C,,1,,
LDT,3/4,74,,1,,
LDX,3/4,04,,,,
LPS,3/4,D0,1,1,,
MUL,3/4,20,,,,
MULF,3/4,60,,1,1,
MULR,2,98,,1,,
NORM,1,C8,,1,1,
OR,3/4,44,,,,
RD,3/4,D8,1,,,
RMO,2,AC,,1,,
RSUB,3/4,4C,,,,
SHIFTL,2,A4,,1,,
SHIFTR,2,A8,,1,,
SIO,1,F0,1,1,,
SSK,3/4,EC,1,1,,
STA,3/4,0C,,,,
STB,3/4,78,,1,,
STCH,3/4,54,,,,
STF,3/4,80,,1,1,
STI,3/4,D4,1,1,,
STL,3/4,14,,,,
STS,3/4,7C,,1,,
STSW,3/4,E8,1,,,
STT,3/4,84,,1,,
STX,3/4,10,,,,
SUB,3/4,1C,,,,
SUBF,3/4,5C,,1,1,
SUBR,2,94,,1,,
SVC,2,B0,,1,,
TD,3/4,E0,1,,,1
TIO,1,F8,1,1,,1
TIX,3/4,2C,,,,1
TIXR,2,B8,,1,,1
WD,3/4,DC,1,,,
